split,road_ref,observations,actual_mean,predicted_mean,mae,rmse,mean_percentage_error
test,SPexSS35,30,35398.76666666667,37002.168,3312.7884114583335,4200.776580153383,10.005366366422182
test,SP14,30,15936.633333333333,16408.408,813.0119791666667,1062.0338112541663,5.266894369167425
test,SPexSS415,30,13207.133333333333,13769.06,574.5407877604167,667.7790007044404,4.625985219564185
test,SP40,30,10421.8,10482.115,295.91697591145834,378.59939257738154,3.0042576323728074
test,SP103,30,9749.6,9956.48,244.33116861979167,301.2535376328785,2.6670123000761063
validation,SPexSS35,30,36485.7,38123.242,3457.7462239583333,4694.202447593913,10.534116694001613
validation,SP14,30,15280.166666666666,15910.459,2092.3279947916667,3649.114000858511,17.036566111267444
validation,SPexSS415,30,13015.9,13920.885,989.7313151041667,1708.2465926957545,9.1112694969402
validation,SP103,30,9359.933333333332,9984.712,771.42216796875,1552.6910824484678,10.96575634076519
validation,SP40,30,9953.7,10466.146,752.8069010416667,1502.7604899085686,9.653099205162103
