split,traffic_location,observations,actual_mean,predicted_mean,mae,rmse,mean_percentage_error
test,S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,15,34115.13333333333,38495.164,4709.552604166666,5502.292944996743,14.561396207220131
test,S.P. ex S.S. 35 MILANO-MEDA al Km 134+046 Dir. MEDA,15,36682.4,35509.17,1916.02421875,2240.0491289633296,5.449336525624233
test,S.P. 14 Rivoltana al Km 6+965 Dir. Milano,15,15392.733333333334,16127.527,856.7345052083333,989.5509037051281,5.715180320808239
test,S.P. 14 Rivoltana al Km 8+039 Dir. Brescia,15,16480.533333333333,16689.287,769.289453125,1129.876383269632,4.818608417526611
test,S.P. ex S.S. 415 Paullese al Km 7+051 Dir. Milano,15,13096.266666666666,13855.72,759.4529296875,787.5774424952349,5.939465778723768
test,S.P. ex S.S. 415 Paullese al Km 7+581 Dir. Paullo,15,13318.0,13682.399,389.62864583333334,521.1327658440858,3.312504660404601
test,S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,15,11197.533333333333,11187.923,297.5671875,328.46746889162813,2.842108640203599
test,S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,15,9646.066666666668,9776.309,294.2667643229167,422.82871472956026,3.1664066245420153
test,S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,15,9949.333333333334,10172.619,266.99827473958334,331.58046247624515,2.814475086923274
test,S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,15,9549.866666666667,9740.341,221.6640625,267.5103451769438,2.519549513228938
validation,S.P. ex S.S. 35 MILANO-MEDA al Km 134+046 Dir. MEDA,15,34834.666666666664,37607.89,3468.460416666667,5109.40142267792,11.475598803880454
validation,S.P. ex S.S. 35 MILANO-MEDA al Km 133+354 Dir. MILANO,15,38136.73333333333,38638.59,3447.03203125,4238.52454752007,9.59263458412277
validation,S.P. 14 Rivoltana al Km 8+039 Dir. Brescia,15,15668.4,15631.736,2629.3702473958333,4180.893368801656,19.01340551343215
validation,S.P. 14 Rivoltana al Km 6+965 Dir. Milano,15,14891.933333333332,16189.183,1555.2857421875,3025.2597609517034,15.059726709102735
validation,S.P. ex S.S. 415 Paullese al Km 7+051 Dir. Milano,15,13088.2,14052.293,994.9514322916667,1723.5146868622708,9.05169011545403
validation,S.P. ex S.S. 415 Paullese al Km 7+581 Dir. Paullo,15,12943.6,13789.476,984.5111979166667,1692.8407979143694,9.17084887842637
validation,S.P. 103 Cassanese Moderna al Km 6+260 Dir. Brescia,15,9617.466666666667,10178.189,773.3029622395833,1517.7410277457398,10.412347196319399
validation,S.P. 103 Cassanese Moderna al Km 6+240 Dir. Milano,15,9102.4,9791.233,769.5413736979167,1586.871566235685,11.51916548521098
validation,S.P. 40 BINASCO - MELEGNANO al Km 12+490 Dir. BINASCO,15,10610.6,11179.548,767.491796875,1549.0496436107578,9.104914130341763
validation,S.P. 40 BINASCO - MELEGNANO al Km 13+031 Dir. MELEGNANO,15,9296.8,9752.746,738.1220052083333,1454.999443879573,10.201284279982444
