rank,feature,importance_gain
1,avg_segment_length_m,383197248.0
2,kilometer_marker,212569920.0
3,is_weekend,87647384.0
4,road_segment_count,34033580.0
5,road_ref_SP14,13300616.0
6,major_road_segment_count,12395303.0
7,avg_maxspeed,11046038.0
8,is_raining,10366476.0
9,week_of_year,9244672.0
10,day_of_week,5832294.0
11,direction_MEDA,4033147.0
12,precipitation,4004488.75
13,temperature_2m,2570253.75
14,month,2316995.0
15,day,2178818.75
16,wind_direction_10m,1585666.125
17,relative_humidity_2m,1478124.625
18,wind_speed_10m,1418534.0
19,pressure_msl,1265554.5
20,direction_BINASCO,1007062.1875
21,major_road_share,869954.375
22,direction_Brescia,564655.9375
23,direction_MILANO,379361.9375
24,direction_Milano,345613.4375
25,avg_lanes,193813.796875
26,direction_MELEGNANO,77730.453125
27,direction_Paullo,37306.2578125
28,road_ref_SP103,31121.10546875
29,year,0.0
30,road_ref_SP40,0.0
31,road_ref_SPexSS35,0.0
32,road_ref_SPexSS415,0.0
